"movie","chapter","character","dialog"
"Harry Potter and the Order of the Phoenix","","Susan Bones","Anything else?"
"Harry Potter and the Order of the Phoenix","","Arabella Figg","I-I felt them. It was horrible...like I would never be happy again."
"Harry Potter and the Order of the Phoenix","","Cornelius Fudge","Very well, you may go."
"Harry Potter and the Order of the Phoenix","","Cornelius Fudge","Not very convincing."
"Harry Potter and the Order of the Phoenix","","Susan Bones","Oh, I disagree. She described their effects very completely."
"Harry Potter and the Order of the Phoenix","","Cornelius Fudge","So two Dementors just happen to be in Little Whinging? I think not..."
"Harry Potter and the Order of the Phoenix","","Albus Dumbledore","Only if the Dementors are still taking their orders from only the Ministry these days. I believe you know my views on this, Cornelius."
"Harry Potter and the Order of the Phoenix","","Cornelius Fudge","Yes, and they're nothing but bilge, Dumbledore."
"Harry Potter and the Order of the Phoenix","","Dolores Umbridge","Excuse me, Dumbledore, but did you just accused the Ministry of Magic of ordering an attack on this boy?"
"Harry Potter and the Order of the Phoenix","","Cornelius Fudge","Dementors are irrelevant!"
"Harry Potter and the Order of the Phoenix","","Cornelius Fudge","Well, yes, if he's telling the truth!"
"Harry Potter and the Order of the Phoenix","","Cornelius Fudge","Very well, all for clearing the accused of charges?"
"Harry Potter and the Order of the Phoenix","","Cornelius Fudge","All opposed?"
"Harry Potter and the Order of the Phoenix","","Albus Dumbledore","Excellent."
"Harry Potter and the Order of the Phoenix","","Arthur Weasley","Harry, you've been let off! That's wonderful!"
"Harry Potter and the Order of the Phoenix","","Arthur Weasley","You were tried by the full court?"
"Harry Potter and the Order of the Phoenix","","Harry Potter","I think so, yeah."
"Harry Potter and the Order of the Phoenix","","Harry Potter","Er...is Percy mad at you?"
"Harry Potter and the Order of the Phoenix","","Arthur Weasley","Ah...yes...I'm afraid we had a bit of a row. He, well, he sided with Fudge and the rest of us sided with Dumbledore, so Percy left."
"Harry Potter and the Order of the Phoenix","","Lucius Malfoy","Well, well, if it isn't Patronus Potter."
"Harry Potter and the Order of the Phoenix","","Harry Potter","What are you doing here?"
"Harry Potter and the Order of the Phoenix","","Lucius Malfoy","Come now, Potter, I really don't think that private matters between the Minister and myself are any concern of yours."
"Harry Potter and the Order of the Phoenix","","Lucius Malfoy","Shall we continue this in your"
"Harry Potter and the Order of the Phoenix","","Cornelius Fudge","Certainly."
"Harry Potter and the Order of the Phoenix","","Harry Potter","If he wanted to talk to the Minister, why down here?"
"Harry Potter and the Order of the Phoenix","","Arthur Weasley","Dunno, Harry. Some things are just beyond comprehension."
"Harry Potter and the Order of the Phoenix","","Arthur Weasley","Settle down, you three!"
"Harry Potter and the Order of the Phoenix","","Arthur Weasley","Sirius, we saw Fudge talking with Lucius Malfoy on Level Nine again. Tell Dumbledore, next time he comes in, would you?"
"Harry Potter and the Order of the Phoenix","","Sirius Black","Yeah, absolutely."
"Harry Potter and the Order of the Phoenix","","Arthur Weasley","Well, I'd better be off. I've got a bewitched vomiting toilet to deal with."
"Harry Potter and the Order of the Phoenix","","Fred Weasley","George, remember that concept. Vomiting Toilet."
"Harry Potter and the Order of the Phoenix","","George Weasley","Right you are, Fred."
"Harry Potter and the Order of the Phoenix","","Arthur Weasley","Also, I'm covering for Tonks on guard duty later tonight, so I won't be back until late."
"Harry Potter and the Order of the Phoenix","","Sirius Black","Harry!"
"Harry Potter and the Order of the Phoenix","","Sirius Black","You all right, Harry?"
"Harry Potter and the Order of the Phoenix","","Harry Potter","Yeah...just...my scar...the pain is getting stronger."
"Harry Potter and the Order of the Phoenix","","Sirius Black","Harry, I've got something that might interest you."
"Harry Potter and the Order of the Phoenix","","Sirius Black","This was the original Order of the Phoenix. Found it while we were cleaning."
"Harry Potter and the Order of the Phoenix","","Sirius Black","There's Mad-eye and Dumbledore, right next to Dedalus Diggle; Marlene McKinnon, she was killed two weeks after this was taken...;"
"Harry Potter and the Order of the Phoenix","","Sirius Black","then there's Frank and Alice Longbottom, tortured into insanity by Death Eaters; Lupin, of course.."
"Harry Potter and the Order of the Phoenix","","Harry Potter","My parents."
"Harry Potter and the Order of the Phoenix","","Harry Potter","I miss them, Sirius..."
"Harry Potter and the Order of the Phoenix","","Sirius Black","I know, Harry, I know. I miss them too."
"Harry Potter and the Order of the Phoenix","","Sirius Black","It's not fair that I got to spend so much time with them and you didn't..."
"Harry Potter and the Order of the Phoenix","","Harry Potter","Why'd they have to die, Sirius, why?"
"Harry Potter and the Order of the Phoenix","","Sirius Black","I know I'm not your father, Harry, but I'll always be there for you, if I can help it..."
"Harry Potter and the Order of the Phoenix","","Harry Potter","Thanks."
"Harry Potter and the Order of the Phoenix","","Sirius Black","Kreacher, get out of here! Now!"
"Harry Potter and the Order of the Phoenix","","Kreacher","Oh, how the old Mistress would weep to see the traitor in her house..."
"Harry Potter and the Order of the Phoenix","","Harry Potter","Who..who was that?"
"Harry Potter and the Order of the Phoenix","","Sirius Black","Kreacher. He's been alone with the house for years, he's gone a bit funny."
"Harry Potter and the Order of the Phoenix","","Hermione Granger","Harry, Ron and I, we've been named House Prefects! She hands Harry a letter."
"Harry Potter and the Order of the Phoenix","","Hermione Granger","What about you, Harry?"
"Harry Potter and the Order of the Phoenix","","Hermione Granger","Are you sure? I would have thought you would get one!"
"Harry Potter and the Order of the Phoenix","","Harry Potter","I'm sure. Nothing."
"Harry Potter and the Order of the Phoenix","","Harry Potter","So...congratulations Ron, Hermione..."
"Harry Potter and the Order of the Phoenix","","Ron Weasley","Come on, lets go back downstairs!"
"Harry Potter and the Order of the Phoenix","","Harry Potter","Yes, do go enjoy yourselves."
"Harry Potter and the Order of the Phoenix","","Harry Potter","What is that?"
"Harry Potter and the Order of the Phoenix","","Harry Potter","Yes it is, it's right there!"
"Harry Potter and the Order of the Phoenix","","Luna Lovegood","I see them too, Harry."
"Harry Potter and the Order of the Phoenix","","Harry Potter","Er...you are?"
"Harry Potter and the Order of the Phoenix","","Luna Lovegood","Luna. Luna Lovegood."
"Harry Potter and the Order of the Phoenix","","Harry Potter","Well, thanks Luna."
"Harry Potter and the Order of the Phoenix","","Harry Potter","Hagrid's cabin looks deserted."
"Harry Potter and the Order of the Phoenix","","Hermione Granger","I hope he's all right..."
"Harry Potter and the Order of the Phoenix","","Ron Weasley","What if he were still on his..."
"Harry Potter and the Order of the Phoenix","","Ron Weasley","-.-what if he's still on his mission from Dumbledore?"
